sale_id,customer_id,product_id,quantity_sold,sale_date,total_amount,payment_method,sales_rep_id,shipping_address,order_status,discount,tax_amount
21435a7f-cd17-43c8-8d90-615738ab64a6,aba9569e-a090-433b-838b-398d7eb183a6,6dde5358-0b49-4144-82b7-50d6a743fe00,3,2022-03-16 10:45:49.487007,229.33,Bank Transfer,f8075516-758d-4a65-b3bc-f7d7cc3a275a,"7333 Hannah Rapids Suite 323, Robertston, HI 73989",Shipped,0.36,36.692800000000005
c2115191-f967-4293-aa7f-f301b41865f4,4b4e52fd-9c83-42d2-90b2-b078d3936f3e,6d7212dd-f7c9-4d16-b522-cd564c27ac78,7,2021-11-04 04:41:49.411566,934.26,Credit Card,a670e4b0-e041-4d69-9c78-f51f30302cff,"2926 Miranda Forges Suite 895, East Michellehaven, CT 73892",Pending,0.11,28.0278
3d7c5be5-b4b5-4777-90f6-e66ca3ffcebf,0d677625-5c8b-4c02-8efa-9f513513ee53,55388c8f-b84c-4517-979d-57a0f7f81dd5,10,2023-03-29 08:34:09.009689,165.0,Bank Transfer,dc1ca9b1-91aa-453e-8ead-4b89685b089e,"6259 Meagan Meadows Apt. 003, Leehaven, TN 47271",Pending,0.0,4.125
7979fda4-c5c9-4d5a-9c17-83116d38831d,420e199b-c44f-4f5b-85ce-7878a6164c23,5c722e60-194e-48c8-b52e-8faa7e7f5fce,2,2022-09-19 14:26:15.282828,1385.58,Cash,69b2cfd8-b2b2-4e6c-930f-5a124ab1ee3b,"691 Leslie Forks, East Craigland, MS 62926",Cancelled,0.04,21.7734
f542469c-3824-4275-a4f8-73ca40420c58,0df56ac6-f96b-448a-8ba6-eab94639447b,6d8a54b2-c8cb-4fb1-8f2a-ea087df2af0c,2,2022-10-10 15:57:33.687788,968.44,PayPal,ee7616d1-6798-4256-aa4b-1a88e3411579,"7190 Edward Port, Christopherbury, DE 73648",Shipped,0.44,33.8954
bdc84886-79c2-46b2-bf20-86daaceab138,21300a3f-0990-48a3-bff3-a8e4209cf140,4f84b526-1e06-409c-af91-d5e0b3e1366c,3,2023-05-08 03:11:11.366694,1082.22,Credit Card,6a9ecfbe-5f1c-402f-9531-db26d594ce06,"1666 Jenna Unions, Port Hectorshire, DC 64437",Pending,0.31,25.251800000000003
45b94df4-81d7-438c-9c52-7466e7fc49e1,75998c78-5c6a-4630-bf59-7c4da586bd7a,a8ab9884-e908-4d44-853d-8ea23b22499a,6,2023-09-17 21:09:28.317693,3657.64,Cash,7b5aab2e-57b8-4899-b8af-89475a81f5cf,"693 Benjamin Union Apt. 983, Williamberg, TX 91628",Cancelled,0.31,109.72919999999999
864ae915-e3a2-479a-bef7-b53bb6e7dddd,8b1035df-14fb-41b7-981c-b16f9439f63e,55388c8f-b84c-4517-979d-57a0f7f81dd5,4,2022-01-26 13:52:45.287979,82.5,Credit Card,b02043f7-235a-445d-9017-7e485cb896ae,"749 Weber Centers Suite 221, Martinezview, ND 54138",Completed,0.38,5.775
3bd4a1e0-814e-448f-96d5-bd28f6ec011d,4733f442-c7de-4e99-8b34-9a3f7a96c12c,c36420ef-f5a6-4283-aaca-beffc2c66f9f,7,2022-11-08 08:58:47.219947,4924.68,Bank Transfer,f913d869-8925-459f-92de-b1e769fbce78,"2894 Kevin Prairie, Port Michael, MO 02888",Shipped,0.4,73.8702
b2a6bfd5-e978-438c-8357-de30cdfe958f,556b9623-94fa-455f-ada6-d600ae2bab92,3e19cb1a-d249-45c7-8df0-7be1bf612d92,2,2023-03-19 09:59:08.609426,849.52,PayPal,4fe2d09d-4aa8-4b0e-b097-7ee9311d2bce,"07008 James Throughway, Malloryshire, AK 19037",Pending,0.42,31.857
